月份,青花菜,花椰菜,胡瓜,絲瓜,扁蒲,茄子,番茄,甜椒,豌豆,毛豆,南瓜,辣椒,菜豆,金針花
下一個月,47.05,60.06,22.13,29.66,22.89,26.01,40.27,74.51,65.33,48.86,20.19,46.52,52.4,197.98
下二個月,47.54,60.44,25.24,30.88,22.41,24.17,44.5,74.73,64.87,50.36,19.05,49.52,53.11,172.37
下三個月,51.96,67.1,25.61,30.14,22.76,25.61,44.58,74.38,70.39,54.04,20.19,47.6,60.44,188.95
下四個月,49.92,77.93,26.64,32.45,23.65,28.49,47.5,73.74,67.75,54.3,22.04,55.14,64.93,191.16
下五個月,47.77,69.78,26.91,33.16,24.69,30.49,45.6,72.85,64.18,56.4,21.33,56.58,69.51,173.94
下六個月,54.15,63.83,27.37,36.05,28.43,32.26,42.65,77.98,63.54,62.73,18.84,52.16,64.9,191.92
下七個月,47.84,69.72,24.08,32.38,25.43,31.04,44.71,76.63,64.05,58.68,18.63,51.06,63.98,197.2
下八個月,45.2,69.35,26.17,32.05,25.17,31.37,45.4,75.63,68.81,49.9,17.82,49.14,67.5,192.58
下九個月,43.87,74.33,29.75,32.96,24.13,27.59,41.2,72.38,72.74,53.49,17.85,45.14,74.36,184.85
下十個月,40.98,73.63,25.09,32.21,24.2,27.5,35.4,74.25,64.2,58.43,19.18,46.35,72.83,177.42
下十一個月,38.77,67.11,23.58,32.0,23.48,24.54,34.61,74.56,65.08,59.09,22.82,48.46,65.76,165.21
下十二個月,41.7,66.56,25.59,30.14,23.59,24.56,35.2,74.93,68.93,62.12,26.91,46.58,58.08,193.1
